rank,city,state,population,growth
278,Broken Arrow,Oklahoma,103500,0.28
279,Boulder,Colorado,103166,0.09
280,West Palm Beach,Florida,102436,0.24
281,Santa Maria,California,102216,0.31
282,El Cajon,California,102211,0.07
283,Davenport,Iowa,102157,0.04
284,Rialto,California,101910,0.1
285,Las Cruces,New Mexico,101324,0.38
286,San Mateo,California,101128,0.09
287,Lewisville,Texas,101074,0.29
288,South Bend,Indiana,100886,-0.07
289,Lakeland,Florida,100710,0.18
290,Erie,Pennsylvania,100671,-0.03
291,Tyler,Texas,100223,0.19
292,Pearland,Texas,100065,1.17
293,College Station,Texas,100050,0.45
294,Kenosha,Wisconsin,99889,0.1
295,Sandy Springs,Georgia,99770,0.17
296,Clovis,California,99769,0.43
297,Flint,Michigan,99763,-0.2
298,Roanoke,Virginia,98465,0.04
299,Albany,New York,98424,0.04
300,Jurupa Valley,California,98030,
301,Compton,California,97877,0.05
302,San Angelo,Texas,97492,0.1
303,Hillsboro,Oregon,97368,0.36
304,Lawton,Oklahoma,97151,0.05
305,Renton,Washington,97003,0.88
306,Vista,California,96929,0.08
307,Davie,Florida,96830,0.18
308,Greeley,Colorado,96539,0.23
309,Mission Viejo,California,96346,0.03
310,Portsmouth,Virginia,96205,-0.04
311,Dearborn,Michigan,95884,-0.02
312,South Gate,California,95677,-0.01
313,Tuscaloosa,Alabama,95334,0.21
314,Livonia,Michigan,95208,-0.05
315,New Bedford,Massachusetts,95078,0.01
316,Vacaville,California,94275,0.05
317,Brockton,Massachusetts,94089,0
318,Roswell,Georgia,94034,0.15
319,Beaverton,Oregon,93542,0.17
320,Quincy,Massachusetts,93494,0.06
321,Sparks,Nevada,93282,0.39
322,Yakima,Washington,93257,0.12
323,Lee's Summit,Missouri,93184,0.31
324,Federal Way,Washington,92734,0.09
325,Carson,California,92599,0.03
326,Santa Monica,California,92472,0.1
327,Hesperia,California,92147,0.46
328,Allen,Texas,92020,1.04
329,Rio Rancho,New Mexico,91956,0.74
330,Yuma,Arizona,91923,0.16
331,Westminster,California,91739,0.04
332,Orem,Utah,91648,0.09
333,Lynn,Massachusetts,91589,0.03
334,Redding,California,91119,0.12
335,Spokane Valley,Washington,91113,0.13
336,Miami Beach,Florida,91026,0.03
337,League City,Texas,90983,0.98
338,Lawrence,Kansas,90811,0.13
339,Santa Barbara,California,90412,0.01
340,Plantation,Florida,90268,0.09
341,Sandy,Utah,90231,0.01
342,Sunrise,Florida,90116,0.05
343,Macon,Georgia,89981,-0.07
344,Longmont,Colorado,89919,0.24
345,Boca Raton,Florida,89407,0.08
346,San Marcos,California,89387,0.6
347,Greenville,North Carolina,89130,0.42
348,Waukegan,Illinois,88826,0.01
349,Fall River,Massachusetts,88697,-0.04
350,Chico,California,88077,0.14
351,Newton,Massachusetts,87971,0.05
352,San Leandro,California,87965,0.1
353,Reading,Pennsylvania,87893,0.08
354,Norwalk,Connecticut,87776,0.06
355,Fort Smith,Arkansas,87650,0.09
356,Newport Beach,California,87273,0.1
357,Asheville,North Carolina,87236,0.2
358,Nashua,New Hampshire,87137,0
359,Edmond,Oklahoma,87004,0.27
360,Whittier,California,86635,0.03
361,Nampa,Idaho,86518,0.58
362,Bloomington,Minnesota,86319,0.01
363,Deltona,Florida,86290,0.23
364,Hawthorne,California,86199,0.02
365,Duluth,Minnesota,86128,0
366,Carmel,Indiana,85927,0.6
367,Suffolk,Virginia,85728,0.34
368,Clifton,New Jersey,85390,0.08
369,Citrus Heights,California,85285,0
370,Livermore,California,85156,0.15
371,Tracy,California,84691,0.46
372,Alhambra,California,84577,-0.01
373,Kirkland,Washington,84430,0.88
374,Trenton,New Jersey,84349,-0.01
375,Ogden,Utah,84249,0.09
376,Hoover,Alabama,84126,0.33
377,Cicero,Illinois,84103,-0.02
378,Fishers,Indiana,83891,1.15
379,Sugar Land,Texas,83860,0.29
380,Danbury,Connecticut,83684,0.11
381,Meridian,Idaho,83596,1.28
382,Indio,California,83539,0.66
383,Concord,North Carolina,83506,0.47
384,Menifee,California,83447,0.95
385,Champaign,Illinois,83424,0.18
386,Buena Park,California,82882,0.06
387,Troy,Michigan,82821,0.02
388,O'Fallon,Missouri,82809,0.63
389,Johns Creek,Georgia,82788,0.37
390,Bellingham,Washington,82631,0.22
391,Westland,Michigan,82578,-0.05
392,Bloomington,Indiana,82575,0.16
393,Sioux City,Iowa,82459,-0.03
394,Warwick,Rhode Island,81971,-0.05
395,Hemet,California,81750,0.38
396,Longview,Texas,81443,0.12
397,Farmington Hills,Michigan,81295,-0.01
398,Bend,Oregon,81236,0.54
399,Lakewood,California,81121,0.02
400,Merced,California,81102,0.25
401,Mission,Texas,81050,0.75
402,Chino,California,80988,0.16
403,Redwood City,California,80872,0.07
404,Edinburg,Texas,80836,0.65
405,Cranston,Rhode Island,80566,0.01
406,Parma,Ohio,80429,-0.06
407,New Rochelle,New York,79446,0.1
408,Lake Forest,California,79312,0.04
409,Napa,California,79068,0.08
410,Hammond,Indiana,78967,-0.05
411,Fayetteville,Arkansas,78960,0.33
412,Bloomington,Illinois,78902,0.2
413,Avondale,Arizona,78822,1.12
414,Somerville,Massachusetts,78804,0.02
415,Palm Coast,Florida,78740,1.37
416,Bryan,Texas,78709,0.19
417,Gary,Indiana,78450,-0.23
418,Largo,Florida,78409,0.05
419,Brooklyn Park,Minnesota,78373,0.16
420,Tustin,California,78327,0.16
421,Racine,Wisconsin,78199,-0.04
422,Deerfield Beach,Florida,78041,0.05
423,Lynchburg,Virginia,78014,0.2
424,Mountain View,California,77846,0.1
425,Medford,Oregon,77677,0.17
426,Lawrence,Massachusetts,77657,0.08
427,Bellflower,California,77593,0.06
428,Melbourne,Florida,77508,0.06
429,St. Joseph,Missouri,77147,0.04
430,Camden,New Jersey,76903,-0.04
431,St. George,Utah,76817,0.53
432,Kennewick,Washington,76762,0.29
433,Baldwin Park,California,76635,0.01
434,Chino Hills,California,76572,0.14
435,Alameda,California,76419,0.05
436,Albany,Georgia,76185,-0.01
437,Arlington Heights,Illinois,75994,-0.01
438,Scranton,Pennsylvania,75806,0
439,Evanston,Illinois,75570,0.02
440,Kalamazoo,Michigan,75548,-0.02
441,Baytown,Texas,75418,0.13
442,Upland,California,75413,0.1
443,Springdale,Arkansas,75229,0.57
444,Bethlehem,Pennsylvania,75018,0.05
445,Schaumburg,Illinois,74907,-0.01
446,Mount Pleasant,South Carolina,74885,0.53
447,Auburn,Washington,74860,0.35
448,Decatur,Illinois,74710,-0.09
449,San Ramon,California,74513,0.66
450,Pleasanton,California,74110,0.15
451,Wyoming,Michigan,74100,0.07
452,Lake Charles,Louisiana,74024,0.03
453,Plymouth,Minnesota,73987,0.12
454,Bolingbrook,Illinois,73936,0.3
455,Pharr,Texas,73790,0.56
456,Appleton,Wisconsin,73596,0.05
457,Gastonia,North Carolina,73209,0.08
458,Folsom,California,73098,0.39
459,Southfield,Michigan,73006,-0.07
460,Rochester Hills,Michigan,72952,0.06
461,New Britain,Connecticut,72939,0.02
462,Goodyear,Arizona,72864,2.71
463,Canton,Ohio,72535,-0.1
464,Warner Robins,Georgia,72531,0.46
465,Union City,California,72528,0.07
466,Perris,California,72326,0.99
467,Manteca,California,71948,0.43
468,Iowa City,Iowa,71591,0.14
469,Jonesboro,Arkansas,71551,0.28
470,Wilmington,Delaware,71525,-0.02
471,Lynwood,California,71371,0.02
472,Loveland,Colorado,71334,0.37
473,Pawtucket,Rhode Island,71172,-0.03
474,Boynton Beach,Florida,71097,0.17
475,Waukesha,Wisconsin,71016,0.08
476,Gulfport,Mississippi,71012,-0.01
477,Apple Valley,California,70924,0.3
478,Passaic,New Jersey,70868,0.04
479,Rapid City,South Dakota,70812,0.18
480,Layton,Utah,70790,0.2
481,Lafayette,Indiana,70373,0.15
482,Turlock,California,70365,0.24
483,Muncie,Indiana,70316,-0.01
484,Temple,Texas,70190,0.27
485,Missouri City,Texas,70185,0.31
486,Redlands,California,69999,0.09
487,Santa Fe,New Mexico,69976,0.11
488,Lauderhill,Florida,69813,0.04
489,Milpitas,California,69783,0.11
